id_prod,date,session_id,client_id
0_1529,2021-05-16 16:42:09.404762,s_35349,c_1636
0_1355,2021-08-22 16:50:07.727576,s_79234,c_4743
0_1464,2021-09-21 09:24:43.362484,s_93165,c_3519
0_1392,2021-12-29 10:44:34.693702,s_141790,c_4937
0_1034,2021-10-11 04:23:29.599571,s_103080,c_4870
1_97,2021-12-15 21:33:52.714512,s_134926,c_8621
1_383,2022-02-04 03:49:56.147696,s_159680,c_3061
0_1518,2021-09-26 12:37:29.780414,s_95811,c_6197
1_413,2021-06-23 03:43:37.612843,s_52508,c_1712
0_1660,2021-12-19 17:08:34.272578,s_136832,c_4071
1_451,2021-06-16 16:20:06.755708,s_49536,c_6897
0_1420,2021-11-23 15:03:23.901688,s_123928,c_1609
0_1506,2022-01-10 10:02:23.825284,s_147718,c_1680
1_281,2021-12-01 01:18:04.655872,s_127578,c_1609
1_504,2021-08-31 13:15:27.245884,s_83148,c_4326
0_1609,2021-04-07 22:49:49.122707,s_17446,c_6463
0_1152,2022-02-04 19:32:58.357698,s_159997,c_1229
0_2232,2021-08-30 22:13:24.662027,s_82863,c_8388
0_1762,2022-01-21 23:06:56.380490,s_153280,c_8451
0_416,2021-04-23 04:16:09.958935,s_24438,c_152
0_1534,2022-01-19 17:12:42.980687,s_152206,c_1178
1_340,2021-12-01 21:40:04.680653,s_127982,c_6266
2_208,2021-08-21 21:58:40.983725,s_78917,c_7881
0_1100,2021-08-31 08:41:10.987016,s_83070,c_8018
0_1488,2021-07-31 03:01:42.320356,s_69364,c_2918
0_1418,2021-09-17 02:22:30.532671,s_91051,c_3812
0_1342,2021-04-25 11:56:45.127977,s_25525,c_5328
1_406,2021-08-28 17:08:11.453695,s_81880,c_4555
0_1082,2021-05-26 20:47:55.895799,s_39939,c_6753
0_1480,2021-03-21 04:56:16.701014,s_9303,c_7297
1_369,2021-09-15 20:03:08.217907,s_90440,c_2538
1_483,2022-02-10 22:50:44.871970,s_163173,c_7131
0_1579,2021-05-03 19:46:14.181245,s_29458,c_1609
1_11,2021-11-03 05:22:29.808605,s_114026,c_5070
1_267,2022-02-18 02:17:36.636200,s_166882,c_1020
0_1404,2021-05-09 03:39:03.997917,s_31950,c_6467
1_299,2021-06-17 23:24:37.152585,s_50091,c_1844
1_493,2021-08-31 08:14:28.452171,s_83054,c_3967
1_395,2021-12-26 10:40:20.129155,s_140283,c_7709
1_559,2021-09-12 18:30:36.698626,s_88915,c_5689
0_1445,2021-03-25 15:06:18.723161,s_11317,c_5694
1_435,2022-02-17 20:26:49.435127,s_166763,c_8604
0_2235,2021-11-13 04:54:48.495538,s_118872,c_868
1_505,2022-02-19 18:45:50.026657,s_167742,c_881
1_698,2021-04-01 22:52:09.930052,s_14653,c_3735
0_1434,2022-02-19 00:52:43.316317,s_167358,c_8240
1_293,2022-01-08 05:49:42.640636,s_146683,c_3005
0_1874,2021-11-24 02:58:54.737269,s_124191,c_1773
1_414,2022-02-23 05:56:09.841213,s_169492,c_1609
1_661,2021-04-14 13:39:31.911997,s_20473,c_5168
0_1163,2021-06-24 03:10:06.949281,s_52929,c_1609
0_1596,2022-02-01 05:48:27.734459,s_158215,c_4878
1_406,2021-07-08 08:13:06.556329,s_59454,c_8106
0_1142,2021-12-17 13:25:01.222974,s_135743,c_2875
1_475,2021-12-10 15:33:02.479165,s_132359,c_1112
0_1571,2022-02-03 07:52:26.083663,s_159268,c_6168
0_1430,2021-12-21 19:02:33.238800,s_137851,c_7019
0_1124,2022-01-24 09:47:33.117038,s_154465,c_2650
1_369,2022-01-19 09:43:34.739432,s_152075,c_3264
0_1690,2021-03-23 20:24:08.783801,s_10512,c_299
2_139,2022-01-16 13:39:40.278930,s_150675,c_8517
0_1531,2021-08-18 23:46:43.150625,s_77624,c_7201
1_285,2021-03-14 03:51:31.049141,s_6038,c_8138
1_280,2021-09-21 23:22:13.897127,s_93458,c_4504
0_1519,2021-04-11 11:42:42.152037,s_19054,c_2984
0_1460,2021-11-04 00:20:37.372001,s_114396,c_5477
0_1328,2021-03-16 12:42:23.857796,s_7131,c_2796
0_1388,2021-06-08 18:49:28.537697,s_45914,c_4140
1_560,2021-07-29 15:17:02.291446,s_68704,c_4348
0_1808,2021-07-14 06:29:53.564625,s_62057,c_6709
0_1425,2021-11-24 05:42:27.883916,s_124234,c_5759
0_1573,2022-01-01 18:21:37.023998,s_143483,c_4087
0_1518,2021-06-06 05:37:28.742088,s_44736,c_5894
1_366,2022-01-24 23:07:04.312441,s_154737,c_3432
0_1452,2022-02-13 07:06:08.185589,s_164389,c_892
0_1584,2021-11-27 08:44:03.700207,s_125782,c_5577
0_1123,2022-02-23 20:07:56.240138,s_169811,c_7946
0_1485,2021-09-13 01:59:42.933291,s_89068,c_4317
0_1400,2022-02-26 20:09:41.157132,s_171332,c_5674
1_389,2021-11-30 01:12:14.971823,s_127077,c_2688
0_1531,2021-09-07 04:13:15.213542,s_86166,c_2724
2_62,2021-08-28 05:50:46.906391,s_81697,c_7806
1_385,2021-11-12 05:38:47.843822,s_118374,c_2438
0_1460,2021-04-12 23:13:43.993510,s_19746,c_2426
0_1249,2021-09-15 00:20:34.548335,s_90024,c_1432
0_1002,2022-02-14 13:34:42.080759,s_165072,c_2039
0_1428,2021-05-20 21:45:34.718534,s_37251,c_1840
0_1571,2022-02-23 03:16:19.041932,s_169446,c_3001
0_1349,2021-12-05 08:17:04.438838,s_129678,c_1734
0_1569,2021-03-18 17:42:35.480313,s_8138,c_3979
0_1585,2021-08-25 19:21:29.069629,s_80577,c_5909
0_1420,2021-10-17 19:28:49.619771,s_106247,c_390
1_518,2021-06-11 15:38:31.152712,s_47245,c_5895
0_2090,2021-06-30 13:36:00.234685,s_55964,c_6241
0_1208,2022-01-01 20:33:02.227704,s_143535,c_1609
1_301,2021-05-13 10:18:22.303038,s_33925,c_4742
2_19,2021-05-07 13:32:04.703604,s_31172,c_6884
0_1574,2021-12-20 01:18:00.436408,s_136996,c_5619
0_1339,2021-03-17 15:25:21.047606,s_7617,c_1139
2_112,2021-06-10 18:55:23.078433,s_46832,c_4924
1_519,2021-12-06 15:10:14.639832,s_130329,c_5427
1_414,2021-11-30 09:44:58.058189,s_127256,c_4325
0_2227,2021-12-17 14:17:24.680948,s_135772,c_7071
0_1404,2021-08-27 20:16:43.878386,s_81522,c_4112
1_685,2021-04-25 13:23:10.355784,s_25548,c_2929
0_1485,2022-01-27 21:35:05.312144,s_156135,c_384
0_1274,2021-11-08 09:33:53.669157,s_116523,c_5792
1_287,2021-11-05 19:44:32.155398,s_115237,c_4608
0_647,2021-08-12 12:24:40.670015,s_74747,c_4798
0_1348,2021-10-17 13:29:31.536194,s_106138,c_1656
1_210,2021-07-01 23:06:07.613634,s_56615,c_3985
0_2066,2022-01-30 06:03:25.886855,s_157282,c_226
2_227,2021-10-22 17:41:17.347164,s_108583,c_5841
1_495,2022-01-28 22:04:10.859837,s_156624,c_4207
0_1512,2022-02-16 00:42:18.081381,s_165808,c_5019
0_1157,2021-11-10 19:10:58.890785,s_117629,c_7026
0_1580,2021-12-22 11:27:41.037735,s_138183,c_2786
1_283,2021-09-14 18:07:42.425540,s_89897,c_8097
0_1382,2021-08-26 18:30:37.858037,s_81024,c_1338
1_468,2021-08-27 17:25:25.326037,s_81462,c_5551
0_1399,2022-02-15 18:46:51.669198,s_165672,c_8621
0_1035,2021-11-05 17:16:23.944644,s_115188,c_4523
0_1360,2021-06-26 15:05:47.148143,s_54126,c_7295
1_29,2021-06-08 16:34:34.024441,s_45871,c_1609
0_1435,2021-10-13 05:50:12.700268,s_104041,c_3000
1_688,2021-06-01 06:28:46.199353,s_42445,c_1377
1_389,2021-03-09 20:39:23.050373,s_4066,c_5981
0_1294,2022-02-25 14:07:20.442217,s_170697,c_6128
0_1403,2021-08-22 05:56:58.967479,s_79044,c_2146
0_1069,2021-04-09 07:05:55.288311,s_18045,c_1959
1_280,2021-05-21 12:58:07.190552,s_37540,c_7419
0_1583,2021-05-10 12:07:55.250394,s_32555,c_6714
2_140,2021-08-12 07:18:22.223225,s_74649,c_262
0_1052,2021-11-30 10:54:58.049731,s_127269,c_3681
0_1020,2021-06-20 06:58:27.836802,s_51195,c_7864
0_1198,2021-09-12 20:01:29.722606,s_88946,c_4806
1_413,2021-12-03 12:18:42.092082,s_128793,c_1167
1_475,2021-06-08 02:49:06.734738,s_45617,c_2341
1_286,2022-02-11 07:50:26.246793,s_163387,c_1129
0_1072,2021-03-21 20:55:27.670384,s_9613,c_5188
2_96,2021-07-28 08:07:22.427438,s_68149,c_8576
0_1997,2022-02-09 10:44:21.091436,s_162390,c_1818
0_1590,2021-04-22 11:28:48.955100,s_24124,c_3838
1_414,2021-05-16 11:08:28.119318,s_35250,c_606
1_523,2021-06-19 21:54:57.854702,s_51009,c_5773
0_1790,2021-04-08 16:48:11.449110,s_17788,c_1637
2_155,2021-11-25 18:29:31.767896,s_124975,c_2575
0_1464,2021-04-04 18:44:40.572796,s_15981,c_7277
1_442,2022-02-14 22:10:22.344979,s_165241,c_1442
0_1598,2021-06-11 23:05:52.943329,s_47370,c_7338
1_598,2021-11-26 06:13:17.996527,s_125193,c_4927
0_939,2021-09-30 23:18:42.978445,s_98155,c_7811
1_661,2022-02-24 02:15:00.720476,s_169946,c_6850
0_1801,2021-07-08 07:38:11.501278,s_59436,c_3454
0_1397,2021-08-25 18:52:57.824415,s_80578,c_8286
0_2049,2021-06-03 09:12:26.259628,s_43447,c_2704
0_2015,2021-05-10 20:32:59.173110,s_32720,c_7805
1_551,2021-11-24 03:08:00.409676,s_124193,c_5043
0_1382,2021-12-27 15:29:13.182578,s_140887,c_2156
0_1324,2022-01-16 10:10:48.055588,s_150594,c_4615
0_1334,2021-09-29 12:05:16.353698,s_97402,c_445
1_475,2021-08-31 08:56:27.916891,s_83066,c_958
0_1598,2022-02-09 03:08:40.912930,s_162248,c_215
1_437,2021-03-09 03:50:53.852430,s_3756,c_1650
0_1412,2021-05-23 23:15:43.481140,s_38600,c_2765
0_1136,2021-03-23 10:34:00.129889,s_10319,c_6448
0_1608,2021-11-22 08:14:10.495902,s_123294,c_2238
2_102,2021-07-19 10:49:36.980341,s_64371,c_7464
0_1639,2021-06-07 20:04:40.180268,s_45477,c_6981
0_1189,2021-07-06 18:16:56.731842,s_58734,c_7401
0_1320,2021-12-08 17:42:11.753304,s_131358,c_3891
1_281,2022-02-26 21:54:43.993480,s_171366,c_4432
1_432,2022-01-04 23:09:27.667824,s_145065,c_3833
0_1626,2021-06-02 22:00:53.996004,s_43233,c_3765
0_1441,2021-05-24 07:56:35.940787,s_38768,c_6204
1_483,2022-01-17 20:23:52.326277,s_151306,c_2498
1_414,2022-01-14 02:34:21.929259,s_149500,c_6642
0_1513,2021-06-18 12:45:24.635080,s_50337,c_2993
1_536,2021-09-23 11:26:29.507515,s_94232,c_2354
1_425,2021-08-28 23:25:01.702227,s_82000,c_5631
1_449,2022-02-08 04:46:06.548841,s_161743,c_2288
1_318,2021-12-20 20:09:30.534303,s_137385,c_1318
0_1574,2022-02-06 06:33:53.708342,s_160717,c_4032
1_256,2021-05-31 14:59:33.167596,s_42163,c_1876
0_1358,2021-05-25 21:18:45.007580,s_39491,c_5953
1_264,2021-12-09 23:56:03.600882,s_132032,c_1447
0_1324,2021-04-08 12:30:07.476060,s_17715,c_5737
0_1454,2022-02-21 22:37:52.791588,s_168839,c_5301
2_202,2022-02-01 23:47:03.406433,s_158578,c_4981
0_1616,2021-06-16 08:31:25.858569,s_49387,c_2240
1_461,2021-03-18 00:29:30.970107,s_7812,c_6750
0_1247,2021-10-05 08:28:58.911451,s_100274,c_7850
1_188,2021-09-12 10:08:13.345375,s_88738,c_809
0_2028,2021-04-02 15:47:57.666625,s_15006,c_6266
0_1468,2021-09-01 20:30:27.685419,s_83708,c_1939
0_471,2022-01-10 21:09:29.670030,s_147935,c_7211
0_1348,2021-11-14 11:49:03.391304,s_119500,c_2595
1_425,2021-04-22 10:57:12.557029,s_24110,c_6714
1_367,2021-08-06 13:33:11.154050,s_72117,c_6091
0_638,2021-07-08 13:25:11.054654,s_59540,c_2063
0_1345,2022-02-11 11:49:03.807315,s_163473,c_4071
1_351,2022-01-09 03:10:03.549189,s_147105,c_2213
1_412,2021-09-05 12:48:09.774072,s_85397,c_4780
0_2108,2021-12-26 17:10:12.227153,s_140400,c_3763
0_1479,2022-02-18 16:39:40.579216,s_167187,c_8058
0_1027,2022-02-07 00:52:51.234617,s_161129,c_4317
2_26,2021-06-18 12:44:04.551750,s_50339,c_21
0_1404,2021-04-02 21:11:14.938064,s_15107,c_6711
2_207,2021-04-28 19:51:33.945751,s_27113,c_2607
2_233,2021-10-03 01:57:22.634598,s_99180,c_4958
1_417,2022-01-08 07:09:26.002761,s_146717,c_4023
1_13,2021-11-04 22:23:08.112381,s_114822,c_6597
0_1551,2021-11-05 19:10:55.757597,s_115230,c_2255
0_1067,2021-07-13 22:39:13.632129,s_61911,c_3454
0_2283,2021-08-10 09:20:35.242815,s_73800,c_2858
1_352,2021-06-08 22:35:19.677305,s_45988,c_3222
0_1546,2021-12-20 17:01:45.537943,s_137322,c_4588
1_545,2022-02-06 05:07:04.722821,s_160691,c_7675
0_1442,2022-01-03 08:15:37.107473,s_144267,c_187
0_1397,2021-12-07 22:51:43.156281,s_130967,c_3305
2_113,2021-05-12 18:21:48.448166,s_33604,c_5176
0_1559,2022-01-30 14:42:39.759354,s_157449,c_1609
1_685,2021-08-18 05:55:20.970765,s_77299,c_3391
1_667,2021-03-01 14:43:49.872934,s_306,c_344
1_376,2021-11-12 16:45:55.484543,s_118600,c_1238
1_379,2022-02-23 01:19:36.056551,s_169403,c_6661
0_1652,2021-05-24 20:25:01.207736,s_39025,c_6928
0_1465,2021-08-25 22:45:35.784359,s_80640,c_669
0_1326,2021-04-24 12:35:25.613425,s_25076,c_2308
1_379,2021-12-21 06:13:43.233496,s_137587,c_8044
0_1070,2022-02-02 08:09:13.999580,s_158751,c_8548
0_1572,2021-03-26 05:07:57.604686,s_11587,c_571
2_218,2022-01-04 13:13:31.481729,s_144859,c_6886
0_1619,2021-12-17 17:56:49.844960,s_135851,c_2233
1_99,2021-09-09 01:58:51.927660,s_87079,c_3192
1_466,2021-08-09 01:18:53.914400,s_73212,c_8330
1_403,2021-12-07 12:38:30.862784,s_130779,c_1905
1_407,2021-09-14 17:47:10.310493,s_89890,c_1561
1_498,2021-12-07 20:45:02.930994,s_130940,c_7841
1_311,2021-05-23 14:04:54.397922,s_38462,c_1609
0_1479,2021-07-12 22:18:17.451341,s_61450,c_1609
0_1531,2021-09-20 20:34:14.858695,s_92910,c_4413
1_468,2021-03-24 00:16:14.572159,s_10588,c_1458
1_721,2021-05-31 23:47:40.979648,s_42330,c_6404
0_1390,2021-07-28 03:37:24.995046,s_68064,c_8157
1_40,2021-11-04 19:06:29.030648,s_114763,c_1609
2_183,2022-01-22 11:23:46.197113,s_153499,c_4958
1_385,2021-11-28 17:12:01.438923,s_126421,c_2786
0_991,2021-09-27 00:26:01.795971,s_96061,c_7817
1_504,2022-01-26 18:35:26.214544,s_155590,c_4853
2_7,2021-08-23 14:22:33.803659,s_79655,c_2607
1_285,2021-11-05 12:04:19.930237,s_115095,c_24
0_1575,2021-08-10 09:13:31.641127,s_73812,c_6274
0_1457,2021-06-19 19:26:00.119779,s_50956,c_1951
0_250,2021-06-15 01:06:08.579981,s_48795,c_8062
1_431,2022-02-07 06:40:04.030178,s_161244,c_880
1_282,2021-04-06 16:28:19.598721,s_16874,c_892
1_576,2021-06-20 03:39:37.254291,s_51126,c_1202
0_1518,2021-04-29 20:56:03.896266,s_27633,c_1391
1_281,2021-12-16 23:24:53.342282,s_135447,c_6714
0_1018,2021-11-26 00:06:47.621471,s_125065,c_8400
2_141,2022-02-09 19:50:59.206617,s_162589,c_7596
0_1230,2022-02-27 16:59:22.458809,s_171782,c_7925
1_597,2021-11-18 13:21:29.762933,s_121501,c_7652
1_468,2022-01-28 03:01:05.528215,s_156240,c_4393
2_164,2021-11-18 22:46:18.488264,s_121684,c_4867
0_2066,2021-03-24 03:40:23.507558,s_10646,c_1003
0_1440,2022-01-10 00:44:53.221268,s_147528,c_8477
0_358,2021-08-15 11:39:22.167871,s_76051,c_7615
0_2062,2022-01-26 02:32:21.805533,s_155257,c_6714
0_1422,2022-01-04 03:56:18.674958,s_144664,c_4626
0_1418,2022-01-08 10:29:15.022893,s_146769,c_8574
0_1367,2021-11-20 09:14:47.049337,s_122350,c_7743
1_618,2022-02-07 20:30:06.187333,s_161569,c_2732
0_1717,2021-11-04 07:02:04.361571,s_114535,c_2
0_1575,2022-02-26 06:38:10.411039,s_171046,c_7860
1_528,2021-12-20 14:01:51.093548,s_137265,c_8441
0_1755,2021-07-25 07:04:25.929322,s_66856,c_5545
1_370,2021-12-24 12:50:21.264943,s_139286,c_4567
0_2114,2021-08-18 09:41:45.852799,s_77365,c_7796
1_348,2021-10-01 08:21:33.009615,s_98327,c_2543
0_1253,2021-10-26 03:13:10.751184,s_110214,c_412
0_1636,2021-12-29 10:51:44.643754,s_141777,c_3329
0_1442,2022-01-16 02:39:17.368770,s_150461,c_285
0_930,2021-05-16 10:01:12.644187,s_35238,c_8082
0_1454,2021-09-22 11:33:53.719122,s_93708,c_4550
2_110,2021-07-01 20:27:26.731775,s_56560,c_4632
0_1297,2021-04-05 15:07:57.055162,s_16389,c_521
0_1418,2021-04-06 21:47:36.978231,s_16975,c_6664
0_2084,2021-09-22 14:38:56.002316,s_93765,c_557
0_1623,2021-04-21 01:38:34.998849,s_23446,c_1609
1_692,2021-04-01 03:33:56.167545,s_14273,c_6797
0_1060,2021-04-23 07:44:50.033053,s_24510,c_5037
1_435,2021-10-28 01:36:30.625115,s_111122,c_7146
0_1108,2021-06-05 02:01:55.697884,s_44201,c_7359
0_1089,2022-02-25 02:22:20.724156,s_170475,c_29
1_364,2021-08-05 11:02:46.481772,s_71672,c_4556
1_432,2021-07-09 19:19:09.761930,s_60119,c_7401
1_388,2021-05-14 20:25:16.731934,s_34549,c_1426
0_515,2021-10-20 10:05:59.517060,s_107496,c_6999
0_1623,2021-10-20 22:02:37.538613,s_107730,c_1361
1_389,2021-09-08 23:48:56.154137,s_87039,c_6766
0_1376,2021-12-31 17:04:48.282482,s_142957,c_8530
1_493,2021-08-20 14:27:49.197700,s_78334,c_4135
0_1127,2021-07-02 07:26:26.070977,s_56761,c_7052
0_1342,2021-09-15 08:44:19.871088,s_90207,c_4664
0_2102,2021-08-15 15:49:10.352094,s_76120,c_4708
1_718,2022-02-19 10:29:31.178579,s_167559,c_4848
0_1410,2021-11-03 04:52:14.628483,s_113988,c_7506
0_159,2021-06-23 05:47:08.129014,s_52544,c_3378
0_1253,2021-09-16 20:09:38.691983,s_90929,c_4647
2_178,2022-02-05 11:18:46.394975,s_160309,c_4958
1_652,2022-02-05 14:07:02.324091,s_160388,c_8456
0_1472,2022-02-20 13:50:00.514284,s_168146,c_7946
1_400,2022-02-11 17:20:01.537918,s_163585,c_7932
0_1401,2021-12-10 10:22:40.032807,s_132254,c_6303
0_1560,2021-05-10 15:24:47.127094,s_32598,c_2448
0_1562,2021-10-21 08:26:10.739306,s_107940,c_3970
0_1066,2021-08-01 19:28:44.908019,s_70064,c_3231
0_19,2021-09-25 04:10:30.731899,s_95095,c_4242
0_2205,2021-12-29 15:05:32.701727,s_141884,c_7751
1_544,2021-12-08 07:43:07.671376,s_131166,c_3400
0_1159,2021-04-15 16:19:08.935280,s_20993,c_5660
1_257,2021-04-07 22:30:51.671406,s_17441,c_3488
0_1345,2022-02-14 01:22:01.836063,s_164780,c_1609
0_1745,2022-01-02 05:09:59.806118,s_143713,c_8610
0_1487,2021-07-14 02:37:32.670136,s_61969,c_213
1_262,2021-03-16 23:26:46.926733,s_7338,c_261
1_370,2021-05-12 22:37:18.593469,s_33688,c_2679
2_46,2021-07-18 15:51:01.484532,s_64021,c_1559
0_1272,2021-07-11 09:38:03.949668,s_60799,c_1104
0_1053,2021-05-16 20:33:29.763762,s_35434,c_5458
0_191,2021-03-24 18:03:28.877329,s_10910,c_7861
0_1507,2021-05-30 16:13:39.583847,s_41732,c_5655
1_464,2021-04-20 10:43:07.560504,s_23174,c_2077
0_1565,2021-11-16 12:55:11.189498,s_120489,c_2288
0_1004,2022-01-27 06:49:46.950233,s_155848,c_5842
0_1104,2021-05-14 13:15:23.150538,s_34409,c_963
0_1521,2021-10-13 08:13:27.087469,s_104093,c_722
1_504,2021-03-30 21:20:33.934092,s_13683,c_5198
0_444,2022-01-12 01:59:47.343413,s_148523,c_6163
1_684,2021-09-14 17:01:36.008250,s_89863,c_1802
1_64,2021-06-30 05:04:46.903322,s_55819,c_2916
1_278,2021-03-23 03:05:49.319570,s_10179,c_1161
0_1104,2021-03-02 14:41:10.015727,s_772,c_371
0_1598,2021-12-22 02:37:47.450131,s_138014,c_161
1_403,2022-01-14 04:35:44.546423,s_149540,c_3146
0_2098,2022-02-05 13:40:53.074054,s_160382,c_7509
0_1823,2021-06-16 14:39:52.243558,s_49505,c_5610
0_650,2022-02-27 16:18:15.293871,s_171772,c_1461
0_1965,2021-07-22 18:17:28.850023,s_65765,c_7921
2_175,2021-11-20 23:31:32.738348,s_122652,c_3788
0_2218,2022-02-02 07:56:59.745175,s_158752,c_8534
0_2030,2021-04-26 11:03:33.470583,s_26015,c_7742
0_1505,2021-03-12 03:58:21.392257,s_5128,c_7177
0_1916,2021-09-26 18:28:46.722937,s_95951,c_4935
0_1180,2021-07-15 23:24:48.667393,s_62826,c_1892
0_2259,2021-05-09 03:19:48.062340,s_31945,c_562
0_1747,2021-08-11 16:22:31.939361,s_74372,c_6983
0_759,2021-05-19 16:25:09.809618,s_36692,c_134
0_1341,2021-09-12 08:46:58.542126,s_88685,c_1609
0_2030,2022-01-06 01:37:34.965434,s_145601,c_7211
0_1393,2021-04-29 23:38:29.899972,s_27686,c_4389
0_1447,2021-04-30 12:28:21.439074,s_27926,c_6664
2_109,2021-05-09 12:38:37.472765,s_32124,c_531
1_715,2021-11-08 06:26:22.307105,s_116459,c_3679
2_41,2021-06-08 15:54:52.966199,s_45846,c_199
0_2202,2022-01-03 23:24:53.177336,s_144577,c_4029
0_1471,2021-11-23 14:37:58.675007,s_123915,c_7321
0_1419,2021-09-29 21:05:54.144269,s_97592,c_4329
0_1339,2021-09-01 14:28:05.786154,s_83608,c_5835
1_320,2021-08-19 20:23:58.667175,s_78010,c_1386
0_1838,2021-05-23 05:04:57.008838,s_38280,c_5071
1_453,2021-12-24 18:37:44.126012,s_139422,c_4898
0_1054,2022-02-20 02:21:37.900028,s_167888,c_4341
0_1434,2021-10-18 05:54:53.183680,s_106482,c_1609
1_448,2021-06-30 11:52:06.544198,s_55940,c_1081
0_1035,2021-12-22 03:56:47.628522,s_138043,c_626
0_1473,2021-08-12 18:26:58.194201,s_74846,c_2380
1_442,2021-09-25 16:21:20.873883,s_95378,c_6527
0_991,2021-11-02 17:43:40.365575,s_113795,c_5977
1_468,2021-11-06 13:35:42.709681,s_115601,c_5345
0_1132,2021-11-19 15:30:52.930400,s_122058,c_2751
0_1619,2021-05-01 21:19:01.155342,s_28565,c_6585
0_1537,2022-02-27 20:17:12.533787,s_171826,c_1230
1_220,2022-02-17 04:14:14.740646,s_166419,c_3662
0_1392,2021-06-01 23:12:31.717623,s_42778,c_6722
1_495,2021-09-05 20:31:14.259661,s_85558,c_17
0_1030,2021-03-09 11:40:13.969526,s_3897,c_7526
0_345,2021-08-20 00:21:11.895991,s_78070,c_572
2_112,2021-05-02 10:36:50.240577,s_28820,c_492
1_281,2021-12-20 07:58:07.716546,s_137129,c_3454
0_1209,2021-10-11 00:43:05.992073,s_103004,c_4780
0_2021,2021-11-26 13:47:25.299734,s_125371,c_4263
0_163,2021-12-10 07:00:54.801861,s_132181,c_2673
1_413,2021-03-08 18:37:53.574171,s_3591,c_2498
0_1405,2021-03-19 20:36:55.149792,s_8659,c_5529
1_336,2021-07-25 22:20:02.592377,s_67124,c_513
0_2178,2021-05-10 17:35:22.304714,s_32656,c_1365
0_1807,2021-06-05 12:05:24.626576,s_44390,c_6014
2_230,2021-03-23 01:02:20.411361,s_10140,c_1573
1_235,2022-02-07 21:29:09.489670,s_161595,c_517
1_257,2021-08-02 10:25:10.657166,s_70350,c_7293
0_1505,2021-03-20 07:36:19.779883,s_8886,c_4333
0_1292,2021-07-27 03:11:33.813889,s_67630,c_8001
0_1669,2021-05-14 07:18:34.942586,s_34301,c_3397
0_1461,2021-04-19 11:39:00.541267,s_22734,c_6714
0_1287,2021-10-11 04:37:41.556855,s_103082,c_1855
